contract_symbol,last_trade_date,strike,last_price,bid,ask,price_change,percent_change,volume,open_interest,yf_implied_volatility,in_the_money,contract_size,currency,expiration,option_type,spot_price,ticker,fetch_timestamp
SPY260224C00500000,2026-02-19 21:08:28+00:00,500.0,184.89,181.46,184.13,0.0,0.0,,1.0,2.7031282421875,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00550000,2026-02-19 21:08:28+00:00,550.0,134.97,131.47,134.27,0.0,0.0,,1.0,2.0117237207031247,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00590000,2026-02-20 15:01:13+00:00,590.0,97.4,91.47,94.28,0.0,0.0,1.0,1.0,1.4384793701171876,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00600000,2026-02-23 17:14:41+00:00,600.0,81.69,81.48,84.28,-12.589996,-13.353836,2.0,1.0,1.2988316308593748,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00615000,2026-02-23 15:44:45+00:00,615.0,68.99,66.48,69.29,-4.3600006,-5.9441047,38.0,37.0,1.0888717431640624,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00620000,2026-02-17 17:44:49+00:00,620.0,60.96,61.48,64.29,0.0,0.0,,30.0,1.017583037109375,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00625000,2026-02-20 15:01:13+00:00,625.0,62.42,56.48,59.12,0.0,0.0,1.0,1.0,0.9150399121093751,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00630000,2026-02-23 20:31:52+00:00,630.0,51.67,51.49,54.16,-7.200001,-12.230339,175.0,1.0,0.8549819189453125,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00640000,2026-02-23 15:04:14+00:00,640.0,45.76,41.49,44.3,-1.3700027,-2.9068592,2.0,33.0,0.735354208984375,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00644000,2026-02-23 20:53:23+00:00,644.0,37.5,37.49,40.3,-7.0200005,-15.768195,1.0,1.0,0.6772493212890626,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00645000,2026-02-23 20:53:23+00:00,645.0,36.44,36.5,39.17,-5.5,-13.113973,1.0,6.0,0.6459996337890624,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00646000,2026-02-20 17:42:14+00:00,646.0,40.04,35.51,38.3,0.0,0.0,8.0,4.0,0.6508823974609376,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00648000,2026-02-20 14:31:29+00:00,648.0,34.53,33.5,36.3,0.0,0.0,4.0,4.0,0.6201209863281252,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
SPY260224C00649000,2026-02-20 16:07:39+00:00,649.0,40.63,32.5,35.31,0.0,0.0,8.0,4.0,0.6064492480468751,True,REGULAR,USD,2026-02-24,call,682.3900146484375,SPY,2026-02-24T04:55:53.962613
